Reference,old_new,test_textbox.text,,,
cruise,old,cruise,,,
mouse,old,mouse,,,
vase,new,vasu,,,
phone,old,phone,,,
bottle,new,bottle,,Proportion of hit from study list,0.733333333
marble,old,table,,Proportion of hit from non primed words,0.8
poster,old,poster,,,
case,old,cash,,Priming Score,-0.066666667
tshirt,old,tshirt,,,
pastry,old,poster,,,
book,old,book,,,
pencil,new,pencil,,,
cushion,old,cushion,,,
police,old,police,,,
board,old,chord,,,
keys,old,keys,,,
camera,new,camera,,,
laptop,old,laptop,,,
table,new,table,,,
chart,old,chart,,,
